year,sector_group,co2
2000,Agriculture,16884.7879548165
2000,Fugitive,17514.39726677343
2000,Industry,293134.44934999256
2000,Other,16009.5961749465
2000,Power,459143.80366401
2000,Residential,97875.69389864
2000,Transport,95089.8344278699
2001,Agriculture,17426.3021444461
2001,Fugitive,15588.09940802315
2001,Industry,298609.435527715
2001,Other,17531.1982501969
2001,Power,471948.11038701
2001,Residential,95783.07918082
2001,Transport,94918.44166104999
2002,Agriculture,16044.073760186599
2002,Fugitive,19488.45722331395
2002,Industry,318786.09110193
2002,Other,18965.4999292664
2002,Power,479405.70293684
2002,Residential,99452.93780773
2002,Transport,97737.35830075
2003,Agriculture,17107.092640461502
2003,Fugitive,22283.55507533695
2003,Industry,313662.848180927
2003,Other,26557.8416402625
2003,Power,501598.43311243
2003,Residential,101049.45859982
2003,Transport,99526.00028707
2004,Agriculture,17994.9496652089
2004,Fugitive,32887.86004830749
2004,Industry,329362.449967451
2004,Other,25867.651922544
2004,Power,548321.36253414
2004,Residential,104331.11334805
2004,Transport,108051.22380164
2005,Agriculture,19412.3780221405
2005,Fugitive,29755.010089183368
2005,Industry,359551.179606016
2005,Other,27395.8381955488
2005,Power,561403.49947514
2005,Residential,103612.36819569
2005,Transport,115403.66432942999
2006,Agriculture,21105.0682301887
2006,Fugitive,31589.97875329526
2006,Industry,396583.511859725
2006,Other,23842.3545729244
2006,Power,596730.09214111
2006,Residential,107896.02084704
2006,Transport,120648.07698293
2007,Agriculture,22126.8108736061
2007,Fugitive,18033.59756807447
2007,Industry,443350.725480093
2007,Other,21003.6705083644
2007,Power,658464.36259902
2007,Residential,107909.17947633
2007,Transport,142976.44168211
2008,Agriculture,23294.3298310961
2008,Fugitive,19158.77938028002
2008,Industry,453606.25782806095
2008,Other,51711.8650401328
2008,Power,684655.56046238
2008,Residential,107974.53378958
2008,Transport,163209.73922692
2009,Agriculture,23876.596494605
2009,Fugitive,20173.12426803388
2009,Industry,499814.306427492
2009,Other,47782.259558660895
2009,Power,758498.10391307
2009,Residential,114208.42922597
2009,Transport,178711.92752834
2010,Agriculture,25241.2248769503
2010,Fugitive,21146.25738677479
2010,Industry,553257.149786612
2010,Other,46573.899060072
2010,Power,785470.22449781
2010,Residential,119085.25132397
2010,Transport,192918.8841013201
2011,Agriculture,25939.253257418597
2011,Fugitive,21885.90825118344
2011,Industry,620178.413486916
2011,Other,28808.9915113489
2011,Power,818995.32183752
2011,Residential,125234.11369373
2011,Transport,209289.85180795
2012,Agriculture,25860.1579618947
2012,Fugitive,30710.463637198198
2012,Industry,630942.4103656
2012,Other,39756.1236797389
2012,Power,946155.85608822
2012,Residential,127822.03179879
2012,Transport,221517.7381433399
2013,Agriculture,25558.6531213283
2013,Fugitive,30835.0458422831
2013,Industry,673718.8918671042
2013,Other,33880.5545626862
2013,Power,962551.52659865
2013,Residential,130407.33672611
2013,Transport,226258.91811921
2014,Agriculture,25662.3674057984
2014,Fugitive,32766.0963591492
2014,Industry,698521.2978148132
2014,Other,37993.025445939296
2014,Power,1077498.2433762
2014,Residential,134652.75499466
2014,Transport,235747.1528596999
2015,Agriculture,26160.7197834815
2015,Fugitive,33163.7893471442
2015,Industry,710469.201720556
2015,Other,38634.154685710506
2015,Power,1055398.047454
2015,Residential,138557.65458785
2015,Transport,257747.85249532
2016,Agriculture,25338.810393862
2016,Fugitive,32760.6647531435
2016,Industry,748654.035656815
2016,Other,39829.6864222648
2016,Power,1044048.0596868
2016,Residential,143343.748749
2016,Transport,269386.90176489996
2017,Agriculture,25857.4341665592
2017,Fugitive,35920.9364077425
2017,Industry,793340.5104810988
2017,Other,40975.303811825994
2017,Power,1098781.5089728
2017,Residential,147675.68190367
2017,Transport,291231.70567213
2018,Agriculture,26910.0292043923
2018,Fugitive,36241.8435787634
2018,Industry,811696.008506783
2018,Other,42100.99350673689
2018,Power,1197158.0147199
2018,Residential,153321.9475112
2018,Transport,305690.56456825003
2019,Agriculture,29193.2098575559
2019,Fugitive,36960.8344689097
2019,Industry,805749.4304361693
2019,Other,40654.083868418595
2019,Power,1163774.7838308
2019,Residential,157246.60005049
2019,Transport,308456.13320106
2020,Agriculture,30969.0811091193
2020,Fugitive,33488.451531611296
2020,Industry,733947.1195471172
2020,Other,39103.8106146957
2020,Power,1057473.2323025
2020,Residential,155302.41650732
2020,Transport,268663.55384956
2021,Agriculture,29244.647889077103
2021,Fugitive,33904.806556788404
2021,Industry,817177.0603550938
2021,Other,45725.096601683406
2021,Power,1165721.752242
2021,Residential,161616.54160335
2021,Transport,295093.35948047
2022,Agriculture,29904.836340471098
2022,Fugitive,61159.5090204191
2022,Industry,845494.792085344
2022,Other,47082.0245341724
2022,Power,1265694.5898086
2022,Residential,167875.85985668
2022,Transport,323609.019269696
