year,tapio_index,decoupling_state
2001,0.353,Weak Decoupling
2002,1.027,Expansive Coupling
2003,0.417,Weak Decoupling
2004,1.071,Expansive Coupling
2005,0.58,Weak Decoupling
2006,0.902,Expansive Coupling
2007,1.25,Expansive Negative Coupling
2008,2.12,Expansive Negative Coupling
2009,1.272,Expansive Negative Coupling
2010,0.782,Weak Decoupling
2011,1.228,Expansive Negative Coupling
2012,1.801,Expansive Negative Coupling
2013,0.498,Weak Decoupling
2014,1.111,Expansive Coupling
2015,0.104,Weak Decoupling
2016,0.251,Weak Decoupling
2017,0.89,Expansive Coupling
2018,0.944,Expansive Coupling
2019,-0.324,Strong Decoupling
2020,1.431,Recessive Coupling
2021,1.121,Expansive Coupling
2022,1.067,Expansive Coupling
